,Unnamed: 0,File_Name,rank,Rank_Diff,Time,SSIM,PSNR
0,0,ILSVRC2012_val_00001358.4_50.jpeg,498,-240,5.561066595999364,0.4081003466278669,10.576354364044334
1,1,ILSVRC2012_val_00000517.2_10.jpeg,1,0,5.5397922330002975,0.7468745769338245,20.551706910691532
2,2,ILSVRC2012_val_00003462.4_30.jpeg,243,-113,6.068005729000106,0.5748259347840313,13.05614110560681
3,3,ILSVRC2012_val_00042652.2_50.jpeg,120,-93,5.68111126400072,0.5740394609812509,11.854759035554654
4,4,ILSVRC2012_val_00043109.4_7.jpeg,422,-422,5.5437037719993905,0.5287919030254324,14.259414865718876
5,5,ILSVRC2012_val_00027986.2_6.jpeg,38,-38,5.786191430999678,0.7718839290102743,15.758407337545837
6,6,ILSVRC2012_val_00003890.2_1.jpeg,192,-174,5.871604201000083,0.4600250512551775,12.353300396439392
7,7,ILSVRC2012_val_00048781.4_4.jpeg,707,-706,5.867072452000683,0.5051901594312856,13.394102507381868
8,8,ILSVRC2012_val_00043125.1_10.jpeg,62,-62,6.534305524999581,0.8290161384161449,19.149178330242158
9,9,ILSVRC2012_val_00027986.8_25.jpeg,306,-306,5.876245247999577,0.6869368707007125,16.106797991829946
10,10,ILSVRC2012_val_00027986.2_1.jpeg,71,-71,6.039876091999759,0.7186374945881252,15.44198163601562
11,11,ILSVRC2012_val_00005196.8_12.jpeg,1,-1,6.112850000999969,0.8188458041558572,16.45089983235058
12,12,ILSVRC2012_val_00004573.1_8.jpeg,189,-127,6.18632066400005,0.5509419161466929,14.839328059049835
13,13,ILSVRC2012_val_00048800.1_40.jpeg,0,0,6.200860079999983,0.7490628391637951,13.305881445175693
14,14,ILSVRC2012_val_00048781.4_20.jpeg,473,-472,6.8836122410002645,0.6210381856124589,13.457096964243163
15,15,ILSVRC2012_val_00032831.8_12.jpeg,556,-556,6.7615737210007865,0.4616827250941293,15.211542237071672
16,16,ILSVRC2012_val_00000067.4_2.jpeg,757,-757,6.615302812999289,0.5307440281643847,20.65341041991417
17,17,ILSVRC2012_val_00028105.1_12.jpeg,0,0,6.43317305599976,0.6961891827280277,15.82720537871819
18,18,ILSVRC2012_val_00001745.8_1.jpeg,712,-701,6.316248678000193,0.11965491213124828,10.438603692559395
19,19,ILSVRC2012_val_00004218.8_12.jpeg,201,-197,6.4607340160000595,0.6153409853467868,13.149770279052957
20,20,ILSVRC2012_val_00000754.8_7.jpeg,681,-681,6.058299276999606,0.3501905917037638,14.017377649300544
21,21,ILSVRC2012_val_00048781.8_2.jpeg,709,-708,6.354672891000519,0.3959158290575607,14.02869249987937
22,22,ILSVRC2012_val_00002625.4_25.jpeg,296,-296,6.421138493999933,0.7417413762320908,16.342907057896117
23,23,ILSVRC2012_val_00001171.8_40.jpeg,711,-710,7.1611780459998045,0.8273483989894441,12.995352922907893
24,24,ILSVRC2012_val_00042652.8_5.jpeg,314,-287,6.301676115000192,0.5256491221359071,11.992041620113904
25,25,ILSVRC2012_val_00029783.4_25.jpeg,859,-859,6.310904414999642,0.6522837767960719,16.018033519228663
26,26,ILSVRC2012_val_00000517.4_3.jpeg,397,-396,7.5242815729998265,0.5637919499982146,19.27303109859153
27,27,ILSVRC2012_val_00043120.1_1.jpeg,9,-9,6.7497579459995904,0.4831174071056065,11.349166195105484
28,28,ILSVRC2012_val_00048756.4_18.jpeg,489,-488,6.28352656900006,0.7417151949056354,17.137423710367273
29,29,ILSVRC2012_val_00004858.2_8.jpeg,243,-177,6.246756092999932,0.7283045992429107,9.414969359415975
30,30,ILSVRC2012_val_00043133.4_20.jpeg,287,-287,6.418184690000089,0.7207441537822259,15.201565603954576
31,31,ILSVRC2012_val_00004218.8_40.jpeg,114,-110,6.423903392000284,0.6607272598700084,13.19125379058481
32,32,ILSVRC2012_val_00032831.2_5.jpeg,239,-239,6.352615816000253,0.5104717898218104,14.856869875223017
33,33,ILSVRC2012_val_00031164.4_40.jpeg,18,-18,6.297998995999478,0.72128558807475,19.234208349821074
34,34,ILSVRC2012_val_00043133.2_3.jpeg,156,-156,6.462378141000045,0.5791328318883182,14.535930716648819
35,35,ILSVRC2012_val_00048756.4_40.jpeg,388,-387,6.881356809999487,0.7596003249205789,17.165683316316983
36,36,ILSVRC2012_val_00033354.4_7.jpeg,217,-216,6.968294969999987,0.5517930687673156,16.86182735699035
37,37,ILSVRC2012_val_00030069.4_8.jpeg,292,-292,7.3749193060002645,0.6839348652418992,12.662399830193666
38,38,ILSVRC2012_val_00000023.4_16.jpeg,30,-30,7.6475396299993,0.814429948510932,11.251067928541492
39,39,ILSVRC2012_val_00008526.1_10.jpeg,263,-218,6.651563511999483,0.6735953513030583,12.395067152107842
40,40,ILSVRC2012_val_00001487.4_30.jpeg,599,-599,6.374612501000228,0.5252381256942902,14.589952445135053
41,41,ILSVRC2012_val_00043152.8_16.jpeg,514,-514,6.2932183489992894,0.6602242088090945,13.846167084951794
42,42,ILSVRC2012_val_00002998.8_1.jpeg,693,-692,6.983442560000185,0.35082413982435906,11.665239038225947
43,43,ILSVRC2012_val_00040587.4_6.jpeg,455,-455,7.774070423999548,0.6126187524409106,18.485769327505547
44,44,ILSVRC2012_val_00048820.8_8.jpeg,423,-405,6.962743942000087,0.4305380593921681,11.559247589833744
45,45,ILSVRC2012_val_00028105.4_8.jpeg,24,-24,6.909465110999918,0.5706573541808562,16.320676981744608
46,46,ILSVRC2012_val_00004858.8_6.jpeg,189,-123,6.8571888389997175,0.5569884249722942,9.565802492271766
47,47,ILSVRC2012_val_00005581.1_12.jpeg,2,-2,7.1595701040005215,0.8376719174642929,10.36894643978866
48,48,ILSVRC2012_val_00003462.2_50.jpeg,276,-146,6.9290091989996645,0.6202676972910006,13.00695424265676
49,49,ILSVRC2012_val_00043120.4_30.jpeg,1,-1,7.5854967089999255,0.6787523233775841,11.967877008229653
50,50,ILSVRC2012_val_00001745.8_25.jpeg,674,-663,6.608344620000025,0.17345677386359834,10.599669274748548
51,51,ILSVRC2012_val_00001171.2_5.jpeg,268,-267,6.321980806999817,0.8242248435124805,12.721020433388395
52,52,ILSVRC2012_val_00029641.4_40.jpeg,118,-118,6.311815269000362,0.7053981114966333,19.90232669055245
53,53,ILSVRC2012_val_00000094.8_40.jpeg,223,-222,6.261442467000053,0.7955859925930391,11.744867767737857
54,54,ILSVRC2012_val_00001171.1_25.jpeg,42,-41,6.278232067999853,0.8405186493529759,12.730639111655504
55,55,ILSVRC2012_val_00029932.2_12.jpeg,502,-502,6.553857982999944,0.5573369848444292,16.17108713018585
56,56,ILSVRC2012_val_00005223.4_4.jpeg,9,-9,6.553413902999637,0.4623077889714777,11.857164733352539
57,57,ILSVRC2012_val_00005581.2_25.jpeg,1,-1,6.911520539999402,0.8296635003512316,10.352626910383744
58,58,ILSVRC2012_val_00029641.4_6.jpeg,281,-281,6.9303889149996385,0.605568696667326,19.341447471013513
59,59,ILSVRC2012_val_00000067.8_12.jpeg,397,-397,6.36364236099962,0.7380730096986537,23.173769682722373
60,60,ILSVRC2012_val_00038941.1_14.jpeg,92,-91,6.3230939150007535,0.6718093103430113,14.877072090827903
